Run,Model,Attack Intensity,Accuracy,Confidence
3,AU,0.5,0.0,10.836125373840332
3,AU,1.0,0.0,10.746899604797363
3,AU,2.0,0.0,11.9794921875
3,AU,4.0,0.0,11.03267765045166
3,AU,8.0,0.0,11.008842468261719
3,AA,0.0,0.7799999713897705,2.1726596355438232
3,AA,0.1,0.0,4.136450290679932
3,AA,0.25,0.0,3.9432973861694336
3,AA,0.5,0.009999999776482582,4.00515079498291
3,AA,1.0,0.019999999552965164,3.955582857131958
3,AA,2.0,0.0,4.1277360916137695
3,AA,4.0,0.019999999552965164,4.113016128540039
3,AA,8.0,0.0,3.9772274494171143
3,AN,0.0,0.75,2.869147539138794
3,AN,0.1,0.0,7.624953269958496
3,AN,0.25,0.0,8.659815788269043
3,AN,0.5,0.0,8.117802619934082
3,AN,1.0,0.0,8.95399284362793
3,AN,2.0,0.0,8.972722053527832
3,AN,4.0,0.0,8.474931716918945
3,AN,8.0,0.0,8.221348762512207
4,UU,0.0,0.8999999761581421,7.3789963722229
4,UU,0.1,0.0,17.84822654724121
4,UU,0.25,0.0,18.390811920166016
4,UU,0.5,0.0,19.138235092163086
4,UU,1.0,0.0,19.210956573486328
4,UU,2.0,0.0,18.07168960571289
4,UU,4.0,0.0,20.33559226989746
4,UU,8.0,0.0,19.561784744262695
4,UA,0.0,0.6299999952316284,2.737617015838623
4,UA,0.1,0.08999999612569809,2.543794631958008
4,UA,0.25,0.07999999821186066,2.635265827178955
4,UA,0.5,0.11999999731779099,2.4983935356140137
4,UA,1.0,0.11999999731779099,2.3385984897613525
4,UA,2.0,0.12999999523162842,2.3058626651763916
4,UA,4.0,0.08999999612569809,2.616666793823242
4,UA,8.0,0.14000000059604645,2.3509716987609863
4,UN,0.0,0.7799999713897705,4.529362678527832
4,UN,0.1,0.009999999776482582,7.070080280303955
4,UN,0.25,0.0,7.519181251525879
4,UN,0.5,0.0,7.902278900146484
4,UN,1.0,0.009999999776482582,7.430967330932617
4,UN,2.0,0.0,7.2868547439575195
4,UN,4.0,0.009999999776482582,7.770715713500977
4,UN,8.0,0.019999999552965164,6.94282341003418
4,AU,0.0,0.7599999904632568,3.6317477226257324
4,AU,0.1,0.0,11.95339584350586
